time;value
0;0.5417263609368607
1;0.9293897784889635
2;3.204582213477852
3;3.6505962256666447
4;4.506618221397684
5;5.652646720051192
6;6.164132654047211
7;7.5298531177358
8;8.322054961221063
9;8.7469849327089
10;9.548468913162479
11;9.897691576284311
12;10.354101609058185
13;10.024186223200758
14;10.378832727278443
15;9.306596912475072
16;8.895915000255265
17;7.824770060458125
18;8.023358982488569
19;6.629216004004285
20;5.0239269561033
21;4.432030709361878
22;2.972924154851744
23;1.2878722640778508
24;0.8526667875245237
25;-0.34980010180535615
26;-1.980572597014942
27;-2.960326095355164
28;-4.507193472569307
29;-5.225936862558436
30;-6.122769437837594
31;-7.004396721463901
32;-8.453477199024954
33;-9.309045979868602
34;-9.431464347495883
35;-9.254556154021945
36;-9.594107805800311
37;-9.981855745631266
38;-9.832459660986348
39;-9.446005890391426
40;-9.291453261945172
41;-8.514409585349458
42;-7.91710997043156
43;-7.115330273140765
44;-5.915714983948066
45;-4.905354752943547
46;-4.06570677274104
47;-2.4179013665019453
48;-1.339083540294423
49;0.0573425574271275
50;0.3773604144073366
51;1.5299633027140271
52;2.6786343040985905
53;4.093432173950007
54;4.870770014877962
55;5.566278980702713
56;6.741467290562245
57;7.860145608750425
58;7.663065810104282
59;8.98763495510759
60;9.024683076724699
61;10.576735246349648
62;9.567630087623996
63;9.362924269491161
64;8.629575265432226
65;9.496611101814647
66;8.292602392023177
67;8.292058962778903
68;7.34568159095826
69;6.67366955320847
70;5.464818737441631
71;4.646386188198895
72;2.9384682834528255
73;2.436110678427953
74;0.7055750766608446
75;-0.7089536331694127
76;-2.8761446801404484
77;-2.579248811277478
78;-4.736305165611749
79;-5.252320995723288
80;-6.459577021285093
81;-7.457702507022589
82;-7.519071450154072
83;-9.130635116177741
84;-9.271705587717506
85;-9.725021488050917
86;-10.16103194876883
87;-9.741103293137861
88;-9.213197361521743
89;-9.990063527194446
90;-8.796887083748356
91;-8.452193660981203
92;-7.595807702993472
93;-7.555315797929378
94;-6.101643508068091
95;-5.216814756213603
96;-4.045942633221472
97;-2.9780020868160544
98;-1.469755567566628
99;-0.46622563916381937
100;-0.19928061749157022
101;1.3297768245233008
102;2.6778452339479974
103;3.699309265676096
104;4.79582068227454
105;5.946128204772067
106;6.578385231523516
107;7.955544842080485
108;8.164648893283134
109;9.40159046742029
110;9.46780468198092
111;10.207687591038564
112;9.9458714973709
113;9.838118576573182
114;9.988820646516011
115;9.310733928400555
116;8.856995223874511
117;7.882469036519824
118;7.528713408311278
119;5.882290843477065
120;5.266602811594207
121;3.2361496318643495
122;3.13712392420873
123;2.1301932285418395
124;0.629425298241342
125;-0.5817422279520398
126;-1.7063748973282569
127;-3.5007508412630886
128;-4.742572562370988
129;-4.992715115856269
130;-6.790076472608518
131;-7.339884145745479
132;-8.078225801224267
133;-8.938800024304836
134;-9.213919291856197
135;-9.844346013584484
136;-9.87224045476095
137;-10.186422873695783
138;-9.609449566416224
139;-9.843803069615607
140;-8.501983400594405
141;-8.769905124248725
142;-7.96614110392789
143;-6.791268756154979
144;-5.539926228191995
145;-5.50549629737515
146;-3.934179540041993
147;-2.4476350069443056
148;-1.3485951476704836
149;-0.05633408046914725
150;-0.4372201530409924
151;1.8953486809599036
152;2.9499014321315666
153;3.2305665424837504
154;5.541093760033953
155;5.250213865909898
156;6.739523933476845
157;7.317185249538254
158;8.966180648245896
159;9.902797892924697
160;9.001533133197919
161;10.209411669491875
162;10.143655372012887
163;10.129875268804605
164;9.719572188765394
165;8.872130437102628
166;9.352714363794762
167;8.748523020796377
168;8.140657792984996
169;6.206684908176154
170;5.489547668970363
171;4.427487519912895
172;2.7699676597368352
173;1.430922239552457
174;0.6700664509131015
175;-1.7121633408617658
176;-1.6928854216872304
177;-3.3450855433100437
178;-4.466539612791045
179;-5.132396048915926
180;-6.379881773354328
181;-7.87094058112161
182;-8.73462744480181
183;-8.714353633499393
184;-9.422960676171382
185;-9.868836859362467
186;-10.480802326034757
187;-10.136260396027357
188;-9.766739868843688
189;-9.844901092678281
190;-9.587072055438316
191;-8.456853678970461
192;-7.944498942399849
193;-6.97856924195082
194;-6.103498737905009
195;-4.098865677635901
196;-2.8655333750566157
197;-1.7458864369558484
198;-1.2337911651297995
199;-0.2679548934562153
200;-0.05231711672566647
201;0.7756206481597603
202;2.7157301953208415
203;3.4637773938585084
204;5.2633807538349515
205;5.197627393155914
206;7.014043083848094
207;8.296137809212311
208;8.519680308185642
209;8.320032206681606
210;8.770899115054194
211;9.433102909696776
212;10.153795068140493
213;10.268108773611244
214;8.61002765720551
215;9.17116232092339
216;9.889242505100936
217;8.38670168422454
218;7.412234227400969
219;6.158979409305648
220;5.951136310599815
221;4.824682925701551
222;2.981313706746721
223;1.7121574975752387
224;0.5508311698022796
225;-0.813812058428449
226;-1.976638714217702
227;-2.9429142982851424
228;-4.544391786219942
229;-5.901672199979638
230;-6.740467000040885
231;-7.702739482583462
232;-7.864964562880907
233;-8.98768607574678
234;-9.78624393662556
235;-10.3992282901224
236;-10.07776982453245
237;-9.795903138149626
238;-9.792341053486437
239;-9.666619729487145
240;-8.69175449733691
241;-9.06340028014454
242;-8.758415275971194
243;-6.534199717758194
244;-6.341020609367945
245;-5.253524905301709
246;-4.296466410504108
247;-2.4626476159019277
248;-1.9136483838268656
249;0.14428714486279112
250;0.2877459215985368
251;1.8274741275099782
252;2.5712136103713945
253;3.551264190695675
254;4.792491487649576
255;6.001679886905342
256;7.3667874154519195
257;8.356888215652399
258;8.511373916577499
259;8.478604157776637
260;9.278573242242693
261;10.24100573534146
262;9.795678967079558
263;10.185983625872206
264;9.128305097342254
265;9.484235301604388
266;8.52584526502164
267;7.794438121611678
268;7.987682230130148
269;6.3873803740036035
270;5.926006865679508
271;3.801858905578716
272;3.035536560458187
273;1.5291702763157826
274;0.9011649088689504
275;-0.9339098637017506
276;-1.888128287766194
277;-3.454375197235107
278;-4.219911405277428
279;-5.311867585996692
280;-6.256013700551264
281;-7.571083187009509
