time;value
0;0.23908657093216415
1;1.4685299401685372
2;2.2946852217891545
3;3.80871823919142
4;4.1532759668228385
5;6.137450958483103
6;8.165312574564144
7;7.3863381672494315
8;8.47157033616871
9;9.171406862054472
10;9.897941639650513
11;9.65156277579162
12;9.684093039294522
13;9.72504375889553
14;9.47772414376173
15;8.1140338793217
16;9.43507968825882
17;9.242219388544425
18;7.418812397100981
19;5.5680393745403105
20;5.631526428836506
21;4.427539980259378
22;2.4199043996771716
23;1.061650997305827
24;0.6351968296951617
25;-1.2476740782891425
26;-1.7492679014703598
27;-3.9896069478812417
28;-3.8710354669881273
29;-4.873498253757345
30;-5.507830692057967
31;-6.685665299909265
32;-8.152617556050448
33;-9.271766212168712
34;-8.855460835611419
35;-9.368594402224915
36;-9.8964285677484
37;-10.469931583458392
38;-9.227534307998255
39;-10.043110852653571
40;-9.341791473310947
41;-9.9890457788287
42;-7.851753320152231
43;-6.808294436704953
44;-5.777504758580528
45;-3.4648331308395526
46;-3.150026469893601
47;-2.93310313082057
48;0.11297066775990916
49;1.0182001767405646
50;-0.23393893318985926
51;1.5809398615023817
52;2.4777730380048633
53;4.286218570437105
54;5.722247024430639
55;6.105010653167351
56;7.404502064778888
57;7.5812459506399295
58;9.502116531213316
59;9.476559185777527
60;9.594883537259479
61;10.580130460243439
62;9.688511593808851
63;9.311665525498352
64;10.341139034315644
65;8.971214573841381
66;9.178402879104144
67;8.861160184908677
68;7.38738113057881
69;5.966665082862982
70;5.753107561877845
71;5.122600460815432
72;2.226196222770495
73;2.4372526011134306
74;1.0565984760712146
75;-0.8835981125054014
76;-1.5504752832719326
77;-3.8686774157434396
78;-3.8540778935461564
79;-5.001230426064302
80;-5.975821361321332
81;-6.768926894168058
82;-7.777472440489473
83;-8.043285103886081
84;-9.198992988409943
85;-9.571411815661943
86;-9.83933976454683
87;-9.261503013981889
88;-10.129646750985708
89;-9.395357015464846
90;-8.666036322586208
91;-7.780419292824321
92;-7.557255774770922
93;-6.840584787284438
94;-6.686532791609003
95;-5.625293332862515
96;-2.3917834576773167
97;-3.3008786247045436
98;-1.627861009599513
99;0.0039348559338547645
100;0.5176365744818149
101;1.4905929902395127
102;2.4907302331944883
103;4.376284023342239
104;4.510513036168352
105;4.727248776375742
106;6.972420907204816
107;7.458342363604643
108;8.091106127026992
109;9.446769196539638
110;9.97089649722896
111;10.9545442618699
112;10.336583551978588
113;10.643094832124094
114;9.788879949504274
115;9.494968782242907
116;9.232847211300758
117;8.773677208085218
118;7.294601420305127
119;6.54817136576064
120;4.027995990038758
121;3.908683773389891
122;3.3518945399102504
123;1.802620149149956
124;1.030165749943237
125;-0.5568911939835419
126;-2.8954376892020517
127;-4.197885830556809
128;-4.117425210101814
129;-5.931028073030703
130;-5.761765878208827
131;-7.184082454831855
132;-8.532430629283056
133;-8.513944199081457
134;-8.736241935987284
135;-9.438797101255274
136;-9.358248125067583
137;-9.419379162221134
138;-10.416853189391448
139;-9.654889328649858
140;-8.971408362166997
141;-9.53791537363636
142;-7.561703366918996
143;-7.25872875689733
144;-4.917499394868223
145;-4.6606538354814955
146;-4.409115395926727
147;-2.589847506632282
148;-1.6928078134020899
149;0.38444439639187267
150;-0.058322816252531495
151;1.3739189737588184
152;3.191822273604085
153;3.6161828587268188
