epoch;training;validation
0;0.6506525905148403;1.0470433967155324
1;0.2728590681343465;0.730119898653867
2;0.23600769578605085;0.7326983155911428
3;0.20975743891620957;0.6457576411857939
4;0.20046209661743125;0.6059236777456183
5;0.19442056397328505;0.613752276751033
6;0.19312366591514768;0.6109313227628407
7;0.1951901021035942;0.5929851270558542
8;0.18661778418196215;0.5881204578960151
9;0.18387943798223058;0.6096234572561163
10;0.17538441395437396;0.5503701687904826
11;0.170229556361163;0.568039289691992
12;0.1740173137771922;0.5415350439255697
13;0.1828402452170849;0.5600947586067936
14;0.17125287692289096;0.53244808263946
15;0.17101549656205886;0.5460207697592283
16;0.16390874138152278;0.5509294334210848
17;0.1643170408350793;0.6236406219633002
18;0.1690793818315944;0.603790191181919
19;0.17361901811248548;0.6029471870054278
20;0.16314842195023557;0.6191082539265615
21;0.1614506036244534;0.6195554999928725
22;0.15654633374935067;0.6058686746839892
23;0.17540426709865395;0.6768031219641367
24;0.16714301596622208;0.6710402892346967
25;0.16503331301784194;0.7102516575863487
26;0.15166734471111684;0.6886135412935626
27;0.1416022856291887;0.6736795483973989
28;0.1486328911036253;0.6858989925760972
29;0.14434679016168858;0.6957978700336657
30;0.16514813023040423;0.7609540014936212
31;0.14466744592866382;0.7181591234709087
32;0.1311948686888492;0.6965959323079962
33;0.11713416487280581;0.7320909092300817
34;0.13013211821986212;0.756860966222328
