epoch;training;validation
0;0.7219679084581297;1.1011186963633488
1;0.3138231028978889;0.6800428906030822
2;0.2553682850019352;0.6303615104733852
3;0.2498641083772118;0.6287701935098883
4;0.23527994514317127;0.6272847422382288
5;0.21554334371073827;0.5770098933002406
6;0.21117609230851805;0.5885282519616579
7;0.20450908477241928;0.5852286731987669
8;0.2009602656034199;0.5367009932534736
9;0.19438225457797179;0.5491658538057093
10;0.18596541425464927;0.5152912683654249
11;0.18025734249401737;0.5112098863250331
12;0.1866830008255469;0.50386414428552
13;0.18475863190518843;0.488811731338501
14;0.18153196750460443;0.48965922860722794
15;0.1822247055283672;0.47749575528136473
16;0.1755142244032106;0.48507981865029587
17;0.17612952954463057;0.4914560521903791
18;0.1804204664117581;0.4929430236419042
19;0.18049008073033512;0.4873633152037336
20;0.1766991092143832;0.48276006025180485
21;0.16897986883649954;0.44263995504170134
22;0.16636990009731537;0.4654793671348639
23;0.17008904069158676;0.4195104479266886
24;0.1772073010435781;0.40871695677439374
25;0.17649703709458983;0.46974587022212516
26;0.170793143428258;0.467296757718973
27;0.15690650669606152;0.4898679366237239
28;0.15303321644865178;0.5196208112072527
29;0.1524649575755403;0.5298656774194617
30;0.14413913915286192;0.5791407907218263
31;0.1375490434165742;0.5508181552092234
32;0.11967193451080774;0.5876241274047316
33;0.09635817414602718;0.6003774780976144
34;0.10573102295700763;0.539612433889456
35;0.11200163789294862;0.5463714416612658
36;0.0999027160575261;0.5859309858397433
37;0.11012985944445874;0.5858172591318164
38;0.0871836291978488;0.5845667970807928
39;0.0815289778584564;0.622576176597361
40;0.09048034212476498;0.560436789403882
41;0.10396756353611881;0.6121137597058949
42;0.09536453474413704;0.6210614934302213
43;0.08452595927928751;0.6292879706934879
44;0.06793763717586124;0.6264707148075104
